DATE,DB,WB,Hour,Minute,Day,Weekend,Utility Subtotal,Scored Labels
10/18/2017 2:00:00 AM,51,45,2,120,4,0,319.7042236,318.500183105469
5/13/2017 5:00:00 AM,48,47,5,300,7,1,421.8761597,431.067718505859
10/25/2017 4:00:00 PM,63,54,16,960,4,0,478.3600464,472.778900146484
9/12/2017 10:00:00 AM,71,62,10,600,3,0,446.1000061,456.986633300781
5/3/2017 8:00:00 AM,60,49,8,480,4,0,451.2999878,461.802490234375
5/20/2017 2:00:00 PM,63,52,14,840,7,1,350.7769165,331.869567871094
3/1/2017 11:00:00 PM,65,56,23,1380,4,0,362.7000122,352.803894042969
4/13/2017 10:00:00 PM,56,42,22,1320,5,0,378.2999878,373.765167236328
1/11/2017 3:00:00 AM,45,43,3,180,4,0,284.5249939,298.226409912109
6/7/2017 10:00:00 PM,62,55,22,1320,4,0,313,320.747467041016
3/2/2017 9:00:00 AM,45,36,9,540,5,0,314.3500061,316.209350585938
9/5/2017 5:00:00 PM,82,72,17,1020,3,0,735.5,732.590515136719
4/20/2017 12:00:00 PM,58,54,12,720,5,0,425.8999939,471.343017578125
1/30/2017 8:00:00 AM,32,26,8,480,2,0,283.5,297.411743164063
7/17/2017 3:00:00 AM,74,69,3,180,2,0,820.0544434,823.192810058594
7/30/2017 1:00:00 AM,68,58,1,60,1,1,600,624.830749511719
4/16/2017 7:00:00 PM,81,63,19,1140,1,1,457.6000061,460.881469726563
6/5/2017 8:00:00 AM,63,61,8,480,2,0,572.9000244,507.19091796875
9/12/2017 8:00:00 AM,66,60,8,480,3,0,389.2999878,398.286437988281
1/3/2017 12:00:00 AM,39,38,0,0,3,0,442.6749878,443.383026123047
11/21/2017 2:00:00 PM,58,45,14,840,3,0,362.8871155,375.414215087891
5/22/2017 5:00:00 PM,60,59,17,1020,2,0,408.7000122,376.193023681641
11/4/2017 3:00:00 AM,48,42,3,180,7,1,286.8999939,287.841888427734
10/14/2017 3:00:00 PM,71,66,15,900,7,1,471.3999939,477.538665771484
8/31/2017 9:00:00 AM,73,64,9,540,5,0,627.2000122,595.593505859375
11/17/2017 1:00:00 AM,43,38,1,60,6,0,487.6000061,448.650787353516
10/16/2017 11:00:00 PM,48,40,23,1380,2,0,313.3413391,302.987823486328
6/3/2017 12:00:00 AM,61,50,0,0,7,1,410.5,417.209197998047
4/18/2017 10:00:00 AM,58,47,10,600,3,0,395.2999878,419.971984863281
9/19/2017 7:00:00 AM,71,67,7,420,3,0,514.0297241,518.37451171875
7/1/2017 8:00:00 PM,72,71,20,1200,7,1,802.4021606,792.505310058594
4/14/2017 6:00:00 AM,49,40,6,360,6,0,306.1000061,289.032287597656
3/13/2017 6:00:00 AM,20,16,6,360,2,0,280.3250122,275.439666748047
7/9/2017 2:00:00 PM,80,64,14,840,1,1,636.2999878,623.887939453125
8/13/2017 5:00:00 PM,81,67,17,1020,1,1,670.2000122,648.8740234375
11/22/2017 11:00:00 PM,36,30,23,1380,4,0,276.8477783,268.409271240234
6/21/2017 8:00:00 AM,76,66,8,480,4,0,420.5,419.746398925781
8/16/2017 7:00:00 AM,71,69,7,420,4,0,696.4000244,718.033081054688
4/3/2017 12:00:00 PM,63,48,12,720,2,0,590.7000122,533.594055175781
6/10/2017 11:00:00 AM,80,66,11,660,7,1,454,475.217437744141
11/15/2017 10:00:00 PM,49,44,22,1320,4,0,325.7000122,318.270812988281
10/27/2017 6:00:00 PM,58,51,18,1080,6,0,363.8953247,386.13427734375
4/5/2017 2:00:00 PM,61,51,14,840,4,0,617.7999878,609.814208984375
7/17/2017 7:00:00 PM,78,73,19,1140,2,0,831.2590942,837.431823730469
1/5/2017 6:00:00 AM,28,22,6,360,5,0,451.9500122,322.566589355469
8/27/2017 11:00:00 AM,75,61,11,660,1,1,583.5,616.867065429688
7/26/2017 11:00:00 AM,76,64,11,660,4,0,686.7999878,688.207885742188
4/28/2017 2:00:00 AM,58,57,2,120,6,0,412.6000061,394.450592041016
4/16/2017 4:00:00 PM,73,65,16,960,1,1,452.3999939,448.102935791016
11/16/2017 5:00:00 PM,50,43,17,1020,5,0,361.8999939,370.243621826172
3/11/2017 12:00:00 PM,23,18,12,720,7,1,294.5499878,303.38232421875
11/26/2017 9:00:00 AM,44,39,9,540,1,1,261.3635864,286.095489501953
12/8/2017 1:00:00 PM,37,30,13,780,6,0,363.167572,350.512542724609
1/7/2017 6:00:00 AM,23,18,6,360,7,1,311.2000122,287.294738769531
5/26/2017 12:00:00 AM,57,56,0,0,6,0,305.7000122,295.760864257813
7/27/2017 7:00:00 AM,69,65,7,420,5,0,630.2999878,619.440734863281
4/15/2017 5:00:00 AM,52,44,5,300,7,1,288.8999939,286.222930908203
8/26/2017 3:00:00 PM,76,58,15,900,7,1,591.5,616.491760253906
6/23/2017 5:00:00 PM,83,75,17,1020,6,0,578.9000244,557.929748535156
7/21/2017 1:00:00 PM,91,74,13,780,6,0,833.4000244,850.757019042969
10/10/2017 4:00:00 PM,79,67,16,960,3,0,541.0999756,554.135803222656
8/26/2017 9:00:00 PM,68,57,21,1260,7,1,583.9000244,594.451599121094
8/28/2017 9:00:00 AM,70,63,9,540,2,0,619.7999878,620.276489257813
1/5/2017 10:00:00 AM,28,22,10,600,5,0,317.2000122,307.714569091797
7/23/2017 5:00:00 AM,72,72,5,300,1,1,646.7000122,654.611755371094
12/6/2017 9:00:00 PM,40,32,21,1260,4,0,283.9858093,299.698425292969
10/27/2017 1:00:00 AM,50,44,1,60,6,0,330.3438416,339.245147705078
11/12/2017 12:00:00 AM,34,28,0,0,1,1,317.2999878,296.182189941406
6/22/2017 2:00:00 AM,69,65,2,120,5,0,430.2000122,415.455505371094
12/1/2017 2:00:00 AM,50,48,2,120,6,0,276.151886,278.608947753906
6/28/2017 1:00:00 PM,75,60,13,780,4,0,497.7999878,515.346313476563
1/16/2017 10:00:00 AM,34,29,10,600,2,0,262.9249878,263.4658203125
11/23/2017 7:00:00 AM,32,28,7,420,5,0,259.8433228,252.715911865234
6/27/2017 9:00:00 PM,71,58,21,1260,3,0,434.2000122,439.547393798828
8/20/2017 9:00:00 AM,74,65,9,540,1,1,700.7999878,682.501647949219
6/24/2017 11:00:00 AM,81,69,11,660,7,1,486.3999939,423.304290771484
8/18/2017 10:00:00 PM,73,72,22,1320,6,0,831.7000122,830.926574707031
4/20/2017 12:00:00 AM,51,48,0,0,5,0,554.7999878,557.880981445313
10/24/2017 3:00:00 AM,69,66,3,180,3,0,302.3392639,350.733489990234
7/14/2017 6:00:00 AM,66,64,6,360,6,0,771.7344971,730.978393554688
6/7/2017 7:00:00 AM,54,50,7,420,4,0,505.3999939,510.063720703125
9/23/2017 8:00:00 AM,72,62,8,480,7,1,379.1000061,375.248107910156
11/8/2017 4:00:00 AM,40,38,4,240,4,0,305.3999939,299.926940917969
8/5/2017 1:00:00 AM,75,72,1,60,7,1,768.0300293,765.525512695313
8/12/2017 2:00:00 AM,64,63,2,120,7,1,666.2000122,647.917663574219
12/5/2017 2:00:00 PM,61,57,14,840,3,0,399.2348633,404.478363037109
10/5/2017 8:00:00 AM,67,61,8,480,5,0,426.7999878,361.625244140625
5/17/2017 12:00:00 AM,69,57,0,0,4,0,385.3222961,368.997894287109
5/6/2017 11:00:00 PM,53,49,23,1380,7,1,451.2999878,444.12890625
3/16/2017 6:00:00 AM,24,20,6,360,5,0,449.4249878,448.662353515625
5/17/2017 7:00:00 PM,86,69,19,1140,4,0,377.6901855,378.449188232422
7/13/2017 4:00:00 PM,85,76,16,960,5,0,761.9304199,756.182800292969
3/5/2017 8:00:00 PM,32,24,20,1200,1,1,297.375,306.327758789063
5/22/2017 6:00:00 AM,54,53,6,360,2,0,334.7092896,329.333892822266
6/5/2017 5:00:00 AM,59,58,5,300,2,0,293.7000122,336.686218261719
11/6/2017 4:00:00 AM,61,60,4,240,2,0,345.3999939,338.804290771484
1/2/2017 3:00:00 AM,38,34,3,180,2,0,427.6749878,435.982116699219
7/12/2017 12:00:00 PM,87,75,12,720,4,0,748.7999878,746.048034667969
5/17/2017 5:00:00 PM,89,69,17,1020,4,0,378.4935608,382.723083496094
1/14/2017 12:00:00 PM,32,27,12,720,7,1,260.7000122,248.013595581055
3/9/2017 2:00:00 PM,60,43,14,840,5,0,350.5750122,340.9541015625
10/22/2017 3:00:00 AM,62,53,3,180,1,1,276.9970093,265.941955566406
10/29/2017 2:00:00 PM,64,63,14,840,1,1,457.2999878,479.453369140625
5/10/2017 1:00:00 PM,68,53,13,780,4,0,447.5843506,425.93310546875
3/12/2017 7:00:00 PM,27,21,19,1140,1,1,285.9249878,280.813629150391
3/14/2017 7:00:00 AM,28,27,7,420,3,0,296.2250061,330.767333984375
8/14/2017 2:00:00 AM,72,66,2,120,2,0,651.2000122,636.274169921875
9/7/2017 8:00:00 AM,61,59,8,480,5,0,609.5,594.194946289063
1/22/2017 9:00:00 AM,44,44,9,540,1,1,256.2999878,271.466156005859
9/27/2017 4:00:00 AM,69,68,4,240,4,0,621.5999756,611.84521484375
10/6/2017 1:00:00 PM,81,67,13,780,6,0,504.1000061,497.542022705078
9/7/2017 12:00:00 PM,69,62,12,720,5,0,693.4000244,679.046142578125
12/6/2017 10:00:00 AM,41,33,10,600,4,0,326.3150024,350.381500244141
11/17/2017 4:00:00 PM,47,36,16,960,6,0,352.5,340.376007080078
11/8/2017 9:00:00 PM,45,41,21,1260,4,0,334.6000061,344.416595458984
6/13/2017 9:00:00 PM,84,73,21,1260,3,0,584.0999756,642.118591308594
6/16/2017 11:00:00 AM,68,64,11,660,6,0,451.7999878,450.855773925781
5/20/2017 1:00:00 AM,64,56,1,60,7,1,355.9989014,353.460632324219
9/3/2017 2:00:00 AM,59,58,2,120,1,1,411.0750122,474.052368164063
4/13/2017 8:00:00 PM,59,45,20,1200,5,0,381.3999939,381.794738769531
4/17/2017 1:00:00 AM,68,62,1,60,2,0,443.5,447.805572509766
7/20/2017 7:00:00 AM,81,74,7,420,5,0,868.9000244,864.769104003906
1/28/2017 2:00:00 AM,36,30,2,120,7,1,281.3999939,278.493133544922
7/29/2017 1:00:00 PM,71,62,13,780,7,1,643.9000244,623.176452636719
