time,roof mechanical,DB,WB,Scored Labels
9/1/2016 2:51:00 AM,-69.9,74,70,-64.8412017822266
5/29/2016 11:51:00 AM,73,86,69,119.506736755371
9/22/2016 9:51:00 AM,-114.8,77,64,-153.429443359375
7/24/2016 6:51:00 AM,43.8,79,68,-56.3402481079102
4/2/2016 1:51:00 PM,72.4,55,47,44.0525131225586
11/12/2016 5:51:00 AM,0,37,31,-0.807368993759155
10/20/2016 9:51:00 AM,0,68,60,-0.766936600208282
3/13/2016 4:51:00 PM,76.4,61,46,78.1892471313477
6/19/2016 1:51:00 PM,-162.7,82,68,-158.490936279297
7/29/2016 1:08:00 PM,-130.1,81,73,-11.8327693939209
1/12/2016 9:51:00 AM,215.95,33,27,112.509925842285
10/30/2016 5:12:00 PM,0,60,59,-1.36098885536194
3/19/2016 2:51:00 AM,57.7,39,32,56.4553680419922
11/9/2016 3:51:00 PM,0,54,52,0.268415480852127
12/2/2016 5:51:00 AM,0,41,36,-0.564498424530029
5/4/2016 3:58:00 AM,-110.95,50,47,-149.760314941406
3/29/2016 10:51:00 AM,61.65,49,37,75.0709075927734
5/22/2016 12:51:00 PM,-95.6,68,54,-166.952728271484
11/25/2016 2:51:00 AM,0,45,44,0.011820150539279
9/3/2016 1:51:00 PM,-105.95,74,63,-108.130226135254
3/25/2016 11:53:00 AM,79.55,65,61,94.4810256958008
4/23/2016 10:51:00 PM,60.25,57,45,54.784107208252
2/16/2016 4:51:00 AM,-71.45,48,46,-71.5175170898438
10/25/2016 10:51:00 PM,0,44,37,0.599213838577271
2/24/2016 11:49:00 AM,-118.7,41,39,-128.618499755859
5/6/2016 1:41:00 PM,-148.55,52,50,-143.412109375
7/2/2016 8:51:00 PM,-182.2,72,59,-203.281433105469
5/3/2016 6:51:00 PM,-143.25,52,50,-138.978515625
8/9/2016 2:51:00 AM,66.85,73,66,79.8783264160156
6/16/2016 6:15:00 AM,-157.15,67,66,-156.871231079102
5/9/2016 3:51:00 AM,-92.05,54,44,-105.124244689941
